,head1,head2,head3
88,10.550999999999998,17.1795,538.212
89,6.0162,21.807,537.8240000000001
90,5.5779999999999985,24.925,484.371
91,5.8741,22.7085,537.879
92,6.0303,22.976500000000005,483.91
93,5.9722,16.755499999999998,519.3050000000002
94,6.0785,15.163714955850544,527.2165820264114
95,5.9518,16.764,544.0409814773457
96,5.9431,24.3685,495.755
97,6.0216,21.8755,513.681
98,6.3307,22.783,468.963
99,5.5284,17.3495,475.848
100,9.247673737170416,17.0295,478.985
101,6.9725,29.391559898924108,487.645
102,6.1501,24.2695,476.153
103,5.6886,19.0405,491.095
104,5.6739,22.3655,502.278
105,6.0755,16.6645,472.866
106,6.4170000000000025,15.4075,514.933
107,5.4619,18.227999999999998,527.602
108,5.5741,20.5625,491.23699999999997
109,6.3063,15.853,492.45099999999996
110,5.709,24.848000000000003,485.39
111,5.6561,15.3435,498.292
112,6.2028,22.371,522.863
113,6.0654,26.524878758410114,526.356
114,5.6256,29.46237316534833,511.79
115,5.484,25.044530258821016,478.491
116,5.447,21.0715,474.99800000000005
117,6.3116,15.041925254373481,468.759
118,6.0652,26.35180018008377,479.444
119,5.4573,21.4075,464.735
120,5.7965,19.9465,463.046
121,6.5360000000000005,20.9635,460.13699999999994
122,5.8186,17.4515,530.548
123,5.7716,19.105,502.13699999999994
124,5.784,24.772,510.82099999999997
125,5.6502,23.0585,482.26199999999994
126,5.6672,17.9185,486.48900000000003
127,6.0354,21.3635,499.037
128,5.8267000000000015,15.26,482.17
129,5.7796,19.837,498.23
130,9.0131,16.805999999999997,531.331
131,6.1849,19.2425,514.002
132,5.5463,23.091500000000003,497.293
133,7.0704,16.756,471.57199999999995
134,5.5287,16.0315,516.085
135,6.7821,16.314,503.334
136,5.4436,21.018,489.10400000000004
137,6.1745,24.575,495.593
138,5.7861,16.191,483.61400000000003
139,5.5728,22.664000000000005,484.441
140,6.0191,17.555999999999997,487.9
141,5.4659,26.74474741567928,467.955
142,6.4168,18.828,495.726
143,6.4113,17.003,500.832
144,6.2408,24.478,520.361
145,5.7725,15.5435,492.86400000000003
146,6.2113,17.2935,480.939
147,6.0124,15.110092256222266,507.461
148,5.4916,21.271500000000003,503.069
149,5.4586,16.795,491.00300000000004
150,5.9492,20.6955,490.69599999999997
151,5.5264,20.9945,512.38
152,5.9474,17.840999999999998,479.079
153,7.0116,23.168000000000003,475.93199999999996
154,7.2625,21.7055,511.19599999999997
155,6.2705,24.6745,496.029
156,7.951493298625616,18.775,476.852
157,5.6508,19.282,521.613
158,5.7496,20.6585,480.82599999999996
159,6.0517,22.57,472.904
160,5.5807,30.193125145969447,491.2
161,5.8299,18.748,484.839
162,6.894400000000001,22.9835,501.69599999999997
163,5.4853,16.457,520.6025012210957
164,6.8735,22.6625,483.12
165,6.0807,15.322000000000001,506.167
166,6.5416,19.613,475.088
167,9.101252225567393,19.924,489.805
168,5.8862000000000005,21.5155,495.30699999999996
169,6.5766,17.096,472.82300000000004
170,5.7862,23.5555,481.965
171,5.8525,22.535,489.79900000000004
172,6.3387,17.454,501.83
173,6.3059,20.6065,471.85900000000004
174,5.7764,24.37,546.2096824307795
175,6.5525,22.3945,534.2550600593064
176,5.6291,23.8325,581.2669999999999
177,5.7165,15.050161859003904,596.951
178,6.0148,18.612,522.3247036140439
179,5.9796,20.4965,604.698
180,5.7712,15.8495,598.706
181,5.5813,18.6795,580.2529999999998
182,7.1814,15.2595,585.538
183,5.459,21.2085,488.57
184,5.6048,24.0875,510.975
185,6.1114,24.3325,582.6709999999999
186,6.3531,19.7995,481.63699999999994
187,5.5673,21.288,494.349
188,5.61,16.202,519.684
189,6.1394,17.4345,556.3907903634396
190,6.0404,23.095,512.457
191,8.127943603882143,28.506367692644726,518.715
192,6.1561,24.864,556.3073297710315
193,5.8729,23.249,552.5252706916758
194,7.996920646468736,18.067,517.551102206097
195,5.4811,29.36357621994377,504.494
196,5.4855,19.318,532.381
197,5.4556,27.08409158156918,461.715
198,5.4446,21.1185,516.6709999999999
199,6.3436,16.0075,481.356
200,5.7491,20.804,477.915
201,6.3821,22.8055,492.395
202,6.1281,28.57607400083291,504.35
203,6.1562,16.2,473.77099999999996
204,5.6786,22.366,496.661
205,5.8991,43.376723679760396,485.022
206,5.6855,16.1725,508.342
207,6.3187,36.87217097998497,468.157
208,6.7548,23.0785,569.941
209,5.5118,18.331,544.86
210,6.3623,22.211,585.033
211,5.5517,26.611425647864017,494.593
212,6.1878,22.878,477.53
213,5.9755,19.1575,488.981
214,6.046,17.7625,490.275
215,6.0049,17.486,543.721
216,7.1884,27.70123359649353,530.379
217,5.5209,21.087,487.964
218,5.7371,16.2655,479.918
219,6.0021,22.484,482.38199999999995
220,5.5636,34.69907557632795,479.76
221,6.385,15.387,490.457
222,9.624184172533248,20.042,523.281
223,5.6964000000000015,19.852999999999998,522.396
224,6.681,24.553,515.6469999999999
225,6.19,26.775918836550854,481.3
226,5.8021,16.137999999999998,506.181
227,5.6512,19.6715,517.452
228,5.7876,19.994,512.155
229,5.8074,24.6005,555.816
230,7.766659345490247,22.1965,482.69599999999997
231,5.7705,16.137,492.44
232,5.6563,20.846,496.00699999999995
233,11.6387,17.619,517.887
234,5.8021,16.630499999999998,559.069
235,5.9478,18.071,534.6659999999998
236,6.4632000000000005,18.3075,508.79900000000004
237,6.1116,19.5225,533.37
238,5.7492,16.859,524.976
239,6.4586000000000015,18.5355,490.38300000000004
240,6.0089000000000015,21.215,473.61300000000006
241,5.8418,22.8075,559.521
242,5.8092000000000015,17.713,489.306
243,6.1311,29.403246637396933,487.403
244,6.7944,18.9765,528.136
245,5.4377,15.957999999999998,554.906
246,10.3462,18.02,483.344
247,5.8057,19.5155,498.30699999999996
248,5.4576,21.26,474.9
249,5.8915,19.7375,525.727
250,5.7701,17.1045,488.537
251,5.8654,23.5285,483.32
252,5.8418,24.627,472.44699999999995
253,7.814333323041477,16.6715,495.98400000000004
254,6.2229,15.4065,515.404
255,6.0244,21.2475,484.358
256,6.0418,15.7145,489.5
257,5.8344000000000005,24.9,485.76599999999996
258,6.3755000000000015,18.7585,489.098
259,5.6497,24.515,478.423
260,5.5532,26.90664833715877,493.26800000000003
261,5.9674,34.151557292405506,487.04
262,6.3015,22.067500000000006,501.52
263,5.9411000000000005,25.1993357445756,468.958
264,5.6525,19.8125,494.07199999999995
265,5.5418,27.884399839722477,516.8
266,6.4350000000000005,22.639000000000006,479.527
267,5.6034,23.8625,511.32199999999995
268,6.6943,23.2475,506.126
269,7.716825470425197,23.123,499.66900000000004
270,5.8346,19.7745,490.73400000000004
271,5.8128,19.862,491.14300000000003
272,5.8698,24.5845,476.875
273,5.6607,18.764,493.045
274,5.6617,21.9485,512.972
275,5.4719,21.754000000000005,507.926
276,5.7422,21.004000000000005,481.99300000000005
277,5.4368,21.327,510.353
278,11.3572,17.5015,490.004
279,6.2424,20.232,486.026
